"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Schoning J.; Richter M.L.","Schoning, Julius (57203051746); Richter, Mats L. (57219691992)","57203051746; 57219691992","AI-Based Crop Rotation for Sustainable Agriculture Worldwide","2021","2021 11th IEEE Global Humanitarian Technology Conference, GHTC 2021","","","","142","146","4","11","10.1109/GHTC53159.2021.9612460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123475052&doi=10.1109%2fGHTC53159.2021.9612460&partnerID=40&md5=61a6e1bc35bacd0bee7fc5d130181e3b","Conference paper","Final","","Scopus","2-s2.0-85123475052"
"Bobade G.; Dhule C.; Khadilkar R.; Agrawal R.; Morris N.C.","Bobade, Gunjan (58655499900); Dhule, Chetan (56209048900); Khadilkar, Ritika (58656132900); Agrawal, Rahul (57197741380); Morris, Nekita Chavhan (34879549200)","58655499900; 56209048900; 58656132900; 57197741380; 34879549200","Design of Smart Irrigation System Based on MLA","2023","Proceedings - 2023 IEEE World Conference on Applied Intelligence and Computing, AIC 2023","","","","174","179","5","0","10.1109/AIC57670.2023.10263833","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174492257&doi=10.1109%2fAIC57670.2023.10263833&partnerID=40&md5=a363c0cb38ac30cb930bfaa1538a3158","Conference paper","Final","","Scopus","2-s2.0-85174492257"
"Chen W.-L.; Lin Y.-B.; Ng F.-L.; Liu C.-Y.; Lin Y.-W.","Chen, Wen-Liang (35073628200); Lin, Yi-Bing (56990503200); Ng, Fung-Ling (57200331043); Liu, Chun-You (57209243961); Lin, Yun-Wei (8858501400)","35073628200; 56990503200; 57200331043; 57209243961; 8858501400","RiceTalk: Rice Blast Detection Using Internet of Things and Artificial Intelligence Technologies","2020","IEEE Internet of Things Journal","7","2","8871173","1001","1010","9","138","10.1109/JIOT.2019.2947624","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079760336&doi=10.1109%2fJIOT.2019.2947624&partnerID=40&md5=b8d4df2812ee7c5333ad4456ccbebdd7","Article","Final","","Scopus","2-s2.0-85079760336"
"Bourouis A.; Touhami A.; Benahmed T.; Touhami S.; Mokeddem K.A.; Benahmed K.","Bourouis, Amina (56938633100); Touhami, Achouak (57210419101); Benahmed, Tariq (57204639563); Touhami, Sana (58162757000); Mokeddem, Kamal Abdelmajid (58074536000); Benahmed, Khelifa (55636750200)","56938633100; 57210419101; 57204639563; 58162757000; 58074536000; 55636750200","IoT-Driven Automation in Vertical Farming: A Survey","2024","Lecture Notes in Networks and Systems","984 LNNS","","","24","33","9","0","10.1007/978-3-031-60629-8_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195843898&doi=10.1007%2f978-3-031-60629-8_3&partnerID=40&md5=8e9f3bb2a27de6d29e0536d608faf8c7","Conference paper","Final","","Scopus","2-s2.0-85195843898"
"Yang X.; Cao D.; Chen J.; Xiao Z.; Daowd A.","Yang, Xiaoping (59110921500); Cao, Dongmei (57203813551); Chen, Jing (57217593205); Xiao, Zuoping (57208631308); Daowd, Ahmad (57214729006)","59110921500; 57203813551; 57217593205; 57208631308; 57214729006","AI and IoT-based collaborative business ecosystem: A case in Chinese fish farming industry","2020","International Journal of Technology Management","82","2","","151","171","20","35","10.1504/IJTM.2020.107856","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087408403&doi=10.1504%2fIJTM.2020.107856&partnerID=40&md5=78b91228ed8f2f99e37a173eb316dbb2","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85087408403"
"Preethi A.; Kumar Reddy P.","Preethi, A. (57209072002); Kumar Reddy, Praveen (57195065302)","57209072002; 57195065302","Survey on Smart Agriculture a Roadmap for India: Role of IoT, AI","2022","3rd International Conference on Electronics and Sustainable Communication Systems, ICESC 2022 - Proceedings","","","","434","439","5","2","10.1109/ICESC54411.2022.9885700","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139546154&doi=10.1109%2fICESC54411.2022.9885700&partnerID=40&md5=e6747972c575c3b6dd1a305d236106f7","Conference paper","Final","","Scopus","2-s2.0-85139546154"
"Nicolas C.; Naila B.; Amar R.-C.","Nicolas, Chollet (57205572404); Naila, Bouchemal (56715877200); Amar, Ramdane-Cherif (57193017253)","57205572404; 56715877200; 57193017253","TinyML Smart Sensor for Energy Saving in Internet of Things Precision Agriculture platform","2022","International Conference on Ubiquitous and Future Networks, ICUFN","2022-July","","","256","259","3","21","10.1109/ICUFN55119.2022.9829675","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135207391&doi=10.1109%2fICUFN55119.2022.9829675&partnerID=40&md5=49e47e7a57e8a583fdf738540f62b020","Conference paper","Final","","Scopus","2-s2.0-85135207391"
"Hassan S.I.; Alam M.M.; Illahi U.; Al Ghamdi M.A.; Almotiri S.H.; Su'ud M.M.","Hassan, Syeda Iqra (57203490056); Alam, Muhammad Mansoor (57535594200); Illahi, Usman (57201907705); Al Ghamdi, Mohammed A. (57210683319); Almotiri, Sultan H. (57127332000); Su'ud, Mazliham Mohd (36701624700)","57203490056; 57535594200; 57201907705; 57210683319; 57127332000; 36701624700","A Systematic Review on Monitoring and Advanced Control Strategies in Smart Agriculture","2021","IEEE Access","9","","2455","32517","32548","31","80","10.1109/ACCESS.2021.3057865","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101446617&doi=10.1109%2fACCESS.2021.3057865&partnerID=40&md5=cc7a22a167107cfc0e9c67276a9cd44d","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85101446617"
"Raveendran G.; Meyer zu Westerhausen S.; Wurst J.; Lachmayer R.","Raveendran, Gurubaran (59140846000); Meyer zu Westerhausen, Sören (58500383500); Wurst, Johanna (57274350800); Lachmayer, Roland (6602616454)","59140846000; 58500383500; 57274350800; 6602616454","Automatic movement pattern analysis for data-driven system optimisation – an example for fattening livestock farming monitoring system","2024","Proceedings of the Design Society","4","","","2217","2226","9","0","10.1017/pds.2024.224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194097373&doi=10.1017%2fpds.2024.224&partnerID=40&md5=1fbc35ed2e94bc49b1acb492bd6dd578","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85194097373"
"Joshi K.; Kumar S.; Bhatla S.; Kaushik V.; Anandaram H.; Kumar A.","Joshi, Kapil (57209511667); Kumar, Santosh (57226008897); Bhatla, Shruti (57485772400); Kaushik, Vishal (57169807400); Anandaram, Harishchander (56269912700); Kumar, Anil (56096607800)","57209511667; 57226008897; 57485772400; 57169807400; 56269912700; 56096607800","Automation Intervention for Monitoring Agriculture Farming Scale: A Review","2023","2023 14th International Conference on Computing Communication and Networking Technologies, ICCCNT 2023","","","","","","","0","10.1109/ICCCNT56998.2023.10307391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179846832&doi=10.1109%2fICCCNT56998.2023.10307391&partnerID=40&md5=0d64aa013aafb68cee80fb00c28b43b2","Conference paper","Final","","Scopus","2-s2.0-85179846832"
"Tiwari V.; Gupta S.; Roy P.; Karda C.; Agrawal S.; Rathore M.S.; Jain S.; Pal A.","Tiwari, Vivek (56496391800); Gupta, Shailendra (57220721922); Roy, Priyadarshini (57226575213); Karda, Chinky (57226565912); Agrawal, Shalini (57226572051); Rathore, Manorama Singh (57226569616); Jain, Swati (57226624920); Pal, Anuj (57226579035)","56496391800; 57220721922; 57226575213; 57226565912; 57226572051; 57226569616; 57226624920; 57226579035","Soybean Crop Non-beneficial Insect Identification Using Mask RCNN","2022","Lecture Notes in Networks and Systems","191","","","301","311","10","6","10.1007/978-981-16-0739-4_30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111994384&doi=10.1007%2f978-981-16-0739-4_30&partnerID=40&md5=8a48996283998d8a1b652749bca7a919","Book chapter","Final","","Scopus","2-s2.0-85111994384"
"Widianto M.H.; Ardimansyah M.I.; Pohan H.I.; Hermanus D.R.","Widianto, Mochammad Haldi (57193864648); Ardimansyah, Mochamad Iqbal (57201991144); Pohan, Husni Iskandar (57224073967); Hermanus, Davy Ronald (57213687079)","57193864648; 57201991144; 57224073967; 57213687079","A Systematic Review of Current Trends in Artificial Intelligence for Smart Farming to Enhance Crop Yield","2022","Journal of Robotics and Control (JRC)","3","3","","269","278","9","14","10.18196/jrc.v3i3.13760","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132397646&doi=10.18196%2fjrc.v3i3.13760&partnerID=40&md5=26f5d60479edc8bb72bef699d5c1fd7d","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85132397646"
"Parashar A.; Mabrouki J.; Sharma J.","Parashar, Aman (58915581100); Mabrouki, Jamal (57207990984); Sharma, Jaidev (59097857500)","58915581100; 57207990984; 59097857500","AI and Smart Technologies for Smart Agriculture Environment","2024","Studies in Big Data","143","","","95","107","12","0","10.1007/978-3-031-50860-8_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186446750&doi=10.1007%2f978-3-031-50860-8_6&partnerID=40&md5=ae128d16d66c3196f681990eda0c3be5","Book chapter","Final","","Scopus","2-s2.0-85186446750"
"van der Burg S.; Giesbers E.; Bogaardt M.-J.; Ouweltjes W.; Lokhorst K.","van der Burg, Simone (8448868100); Giesbers, Else (57219916446); Bogaardt, Marc-Jeroen (22936866800); Ouweltjes, Wijbrand (6602312227); Lokhorst, Kees (25227277700)","8448868100; 57219916446; 22936866800; 6602312227; 25227277700","Ethical aspects of AI robots for agri-food; a relational approach based on four case studies","2024","AI and Society","39","2","","541","555","14","3","10.1007/s00146-022-01429-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127450302&doi=10.1007%2fs00146-022-01429-8&partnerID=40&md5=eb290b729f2ea76dfb108ba62247d153","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85127450302"
"Nicolas C.; Naila B.; Amar R.-C.","Nicolas, Chollet (57205572404); Naila, Bouchemal (56715877200); Amar, Ramdane-Cherif (57193017253)","57205572404; 56715877200; 57193017253","Energy efficient Firmware Over The Air Update for TinyML models in LoRaWAN agricultural networks","2022","2022 32nd International Telecommunication Networks and Applications Conference, ITNAC 2022","","","","21","27","6","6","10.1109/ITNAC55475.2022.9998338","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146713404&doi=10.1109%2fITNAC55475.2022.9998338&partnerID=40&md5=d162ef8ac7a0228654849bdb29fcf321","Conference paper","Final","","Scopus","2-s2.0-85146713404"
"Gupta M.; Abdelsalam M.; Khorsandroo S.; Mittal S.","Gupta, Maanak (57191415772); Abdelsalam, Mahmoud (57196190230); Khorsandroo, Sajad (55331366900); Mittal, Sudip (57188835015)","57191415772; 57196190230; 55331366900; 57188835015","Security and Privacy in Smart Farming: Challenges and Opportunities","2020","IEEE Access","8","","9003290","34564","34584","20","290","10.1109/ACCESS.2020.2975142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080962502&doi=10.1109%2fACCESS.2020.2975142&partnerID=40&md5=b09988ed40879bc63b0e0cac963c2384","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85080962502"
"Reddy K.V.; Reddy B.S.K.; Goutham V.; Mahesh M.; Nisha J.S.; Palanisamy G.; Golla M.; Purushothaman S.; Reddy K.R.; Ramkumar V.","Reddy, Konkala Venkateswarlu (59151108700); Reddy, B. S. Karthikeya (59167748100); Goutham, Veerapu (57211156454); Mahesh, Miriyala (57197600838); Nisha, J.S. (55523820200); Palanisamy, Gopinath (57208906189); Golla, Mallikarjuna (57215612623); Purushothaman, Swetha (59168383100); Reddy, Katangure Rithisha (59151110500); Ramkumar, Varsha (58717775400)","59151108700; 59167748100; 57211156454; 57197600838; 55523820200; 57208906189; 57215612623; 59168383100; 59151110500; 58717775400","Edge AI in Sustainable Farming: Deep Learning-Driven IoT Framework to Safeguard Crops From Wildlife Threats","2024","IEEE Access","12","","","77707","77723","16","0","10.1109/ACCESS.2024.3406585","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194829304&doi=10.1109%2fACCESS.2024.3406585&partnerID=40&md5=4e2cbe6e93c42eb0ccc48ff30ae554d0","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85194829304"
"Rout N.K.; Das S.; Saxena S.; Ghosh P.","Rout, Nirmal Kumar (36722439800); Das, Sourav (57483402300); Saxena, Shubham (57220883821); Ghosh, Pratik (57563788000)","36722439800; 57483402300; 57220883821; 57563788000","IoT-Based Smart Farming Using AI","2023","Studies in Big Data","130","","","59","88","29","1","10.1007/978-981-99-4677-8_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171972343&doi=10.1007%2f978-981-99-4677-8_4&partnerID=40&md5=3de24d59c0ca4b6bd1075df25b3d9e92","Book chapter","Final","","Scopus","2-s2.0-85171972343"
"Nguyen Gia T.; Qingqing L.; Pena Queralta J.; Zou Z.; Tenhunen H.; Westerlund T.","Nguyen Gia, T. (56405504900); Qingqing, L. (57212209553); Pena Queralta, J. (57208835064); Zou, Z. (23096694900); Tenhunen, H. (7005566901); Westerlund, T. (8918911600)","56405504900; 57212209553; 57208835064; 23096694900; 7005566901; 8918911600","Edge AI in Smart Farming IoT: CNNs at the Edge and Fog Computing with LoRa","2019","IEEE AFRICON Conference","2019-September","","9134049","","","","67","10.1109/AFRICON46755.2019.9134049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080905260&doi=10.1109%2fAFRICON46755.2019.9134049&partnerID=40&md5=1e716643c2fd510f7af8b5ded23af1b5","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85080905260"
"Darapaneni N.; Sreekanth S.; Paduri A.R.; Roche A.S.; Murugappan V.; Singha K.K.; Shenwai A.V.","Darapaneni, Narayana (57208709138); Sreekanth, S (57780987400); Paduri, Anwesh Reddy (57221673353); Roche, Anthony Shohan (57782033700); Murugappan, V (57782298800); Singha, Keisham Kiron (57781773400); Shenwai, Amey V (57780456900)","57208709138; 57780987400; 57221673353; 57782033700; 57782298800; 57781773400; 57780456900","AI Based Farm Fish Disease Detection System to Help Micro and Small Fish Farmers","2022","2022 International Conference on Interdisciplinary Research in Technology and Management, IRTM 2022 - Proceedings","","","","","","","8","10.1109/IRTM54583.2022.9791553","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133442149&doi=10.1109%2fIRTM54583.2022.9791553&partnerID=40&md5=d9def1fdf19d6c2a888d181fe929774b","Conference paper","Final","","Scopus","2-s2.0-85133442149"
"Holzinger A.; Saranti A.; Angerschmid A.; Retzlaff C.O.; Gronauer A.; Pejakovic V.; Medel-Jimenez F.; Krexner T.; Gollob C.; Stampfer K.","Holzinger, Andreas (23396282000); Saranti, Anna (36761552200); Angerschmid, Alessa (57575470700); Retzlaff, Carl Orge (57226654783); Gronauer, Andreas (6506976491); Pejakovic, Vladimir (57575470800); Medel-Jimenez, Francisco (57575679900); Krexner, Theresa (57346938900); Gollob, Christoph (57202626671); Stampfer, Karl (15760628700)","23396282000; 36761552200; 57575470700; 57226654783; 6506976491; 57575470800; 57575679900; 57346938900; 57202626671; 15760628700","Digital Transformation in Smart Farm and Forest Operations Needs Human-Centered AI: Challenges and Future Directions","2022","Sensors","22","8","3043","","","","58","10.3390/s22083043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128181274&doi=10.3390%2fs22083043&partnerID=40&md5=f082f34f2e8fd6fc475c4ab30b64ac26","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85128181274"
"","","","An energy-efficient AkidaNet for morphologically similar weeds and crops recognition at the Edge","2022","2022 International Conference on Digital Image Computing: Techniques and Applications, DICTA 2022","","","","","","","0","10.1109/DICTA56598.2022.10034619","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148662080&doi=10.1109%2fDICTA56598.2022.10034619&partnerID=40&md5=0d32b44a4cf6ec9a73bce6f6b06ce6f9","Conference paper","Final","","Scopus","2-s2.0-85148662080"
"Cisek G.","Cisek, Günter (58244002500)","58244002500","The Triumph of Artificial Intelligence: How Artificial Intelligence is Changing the Way We Live Together","2021","The Triumph of Artificial Intelligence: How Artificial Intelligence is Changing the Way We Live Together","","","","1","151","150","1","10.1007/978-3-658-34896-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159009400&doi=10.1007%2f978-3-658-34896-0&partnerID=40&md5=26608424fb97f5cc9ed52f28b7343ccd","Book","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85159009400"
"Shih T.-F.; Hsieh C.-H.; Lin H.-C.; Chang Y.-H.; Shih J.-Y.","Shih, Tzay-Farn (14064126600); Hsieh, Cheng-Hsiung (8930387600); Lin, Hung-Chun (57211541091); Chang, Yi-Hung (57211536612); Shih, Jyun-Yan (57211537856)","14064126600; 8930387600; 57211541091; 57211536612; 57211537856","A smart unmanned aerial system for precision farming management","2019","Proceedings of SPIE - The International Society for Optical Engineering","11123","","111230N","","","","2","10.1117/12.2532013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074361939&doi=10.1117%2f12.2532013&partnerID=40&md5=f3b8796622ca8a53e06b522763ae3685","Conference paper","Final","","Scopus","2-s2.0-85074361939"
"Mishra S.; Sharma S.K.","Mishra, Shailendra (55463276900); Sharma, Sunil Kumar (57211202554)","55463276900; 57211202554","Advanced contribution of IoT in agricultural production for the development of smart livestock environments","2023","Internet of Things (Netherlands)","22","","100724","","","","30","10.1016/j.iot.2023.100724","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148668944&doi=10.1016%2fj.iot.2023.100724&partnerID=40&md5=239f3aa397737e461659543b60736359","Article","Final","","Scopus","2-s2.0-85148668944"
"Zürner S.; Deutschländer L.P.; Schieck M.; Franczyk B.","Zürner, Sebastian (57216315169); Deutschländer, Lukas Peter (58852000600); Schieck, Martin (57219504228); Franczyk, Bogdan (14037266500)","57216315169; 58852000600; 57219504228; 14037266500","Sustainable Development of AI applications in Agriculture: A Review","2023","Procedia Computer Science","225","","","3546","3553","7","0","10.1016/j.procs.2023.10.350","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183549823&doi=10.1016%2fj.procs.2023.10.350&partnerID=40&md5=4e9defa2ca45b6716a8bb288bc27e7d3","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85183549823"
"Bhardwaj S.; Singh D.K.; Singh R.; Gupta P.","Bhardwaj, Sumit (57209779033); Singh, Devanshu Kumar (57812234300); Singh, Ria (58034800500); Gupta, Punit (7404235542)","57209779033; 57812234300; 58034800500; 7404235542","Detection of Leaf Disease Using Artificial Intelligence","2022","Communications in Computer and Information Science","1673 CCIS","","","181","190","9","0","10.1007/978-3-031-21385-4_16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145008525&doi=10.1007%2f978-3-031-21385-4_16&partnerID=40&md5=5fdf85680d5a8f1eb5d7b95aa952bbf6","Conference paper","Final","","Scopus","2-s2.0-85145008525"
