,Categories,year,Title,link
29,Instruments/Measurement,2022,"Method for identifying a wet road surface using at least one radar system of a host vehicle, radar system, driver assistance system and vehicle",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133396A1
30,Mechanical engineering/Transport,2022,"Method for identifying a wet road surface using at least one radar system of a host vehicle, radar system, driver assistance system and vehicle",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133396A1
31,Instruments/Control,2022,Method for informing about permitted and/or prohibited driving on a hard shoulder for a motor vehicle,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133415A1
32,"Mechanical engineering/Engines, pumps, turbines",2022,Axially mountable stub shaft,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133416A1
33,Mechanical engineering/Mechanical elements,2022,Axially mountable stub shaft,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133416A1
34,Chemistry/Chemical engineering,2022,Tillage roller for a tillage machine,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133783A1
35,Mechanical engineering/Mechanical elements,2022,Tillage roller for a tillage machine,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133783A1
36,Other fields/Civil engineering,2022,Tillage roller for a tillage machine,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133783A1
37,"Electrical engineering/Electrical machinery, apparatus, energy",2022,"Sheet metal lamella with a rotation axis for a laminated core of a rotor of an electric motor, and an electric motor with a rotation axis",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133842A1
38,Mechanical engineering/Mechanical elements,2022,"Sheet metal lamella with a rotation axis for a laminated core of a rotor of an electric motor, and an electric motor with a rotation axis",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133842A1
39,Mechanical engineering/Transport,2022,"Sheet metal lamella with a rotation axis for a laminated core of a rotor of an electric motor, and an electric motor with a rotation axis",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133842A1
40,"Electrical engineering/Electrical machinery, apparatus, energy",2022,Limitation of the voltage in recuperation mode,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133875A1
41,Mechanical engineering/Transport,2022,Limitation of the voltage in recuperation mode,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133875A1
42,Mechanical engineering/Transport,2022,"Method for operating a vehicle, in which a teleoperator transfers the vehicle guidance to a driver assistance system, and remote control station",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133892A1
43,Electrical engineering/Telecommunications,2022,Remote control and method for assisting at a passage with a gate,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133897A1
44,Instruments/Measurement,2022,"Self-propelled construction machine, in particular a road milling machine or paver, for processing the ground or erecting a structure on the ground and method for processing the soil or erecting a structure on the ground with a self-propelled construction machine",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133913A1
45,Mechanical engineering/Other special machines,2022,Harvesting machine with a harvest header comprising a grain loss sensor,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133920A1
46,Electrical engineering/IT methods for management,2022,Method and device for using a valet parking service,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133955A1
47,Mechanical engineering/Transport,2022,Method and device for using a valet parking service,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133955A1
48,Mechanical engineering/Transport,2022,Braking system for an electrically driven motor vehicle,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022133997A1
49,Mechanical engineering/Transport,2022,"Hybrid module with identical input clutch system and output clutch system, drive train for light and heavy commercial vehicles",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022134073A1
50,Electrical engineering/Computer technology,2022,Active and self-determined digital identity with rights management for mechanical watches and valuable luxury goods,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022134095A1
51,Electrical engineering/Digital communication,2022,Active and self-determined digital identity with rights management for mechanical watches and valuable luxury goods,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022134095A1
52,Instruments/Measurement,2022,Active and self-determined digital identity with rights management for mechanical watches and valuable luxury goods,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022134095A1
53,Mechanical engineering/Transport,2022,Method for improving the driving dynamic stability of a commercial vehicle with a lifting axle,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022134146A1
54,"Electrical engineering/Electrical machinery, apparatus, energy",2022,"Electric machine, especially for driving a vehicle",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022134151A1
55,Mechanical engineering/Transport,2022,Method for approximating a coefficient of friction,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022134156A1
56,Instruments/Medical technology,2022,Surgical instrument for coupling to a drive unit,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022134201A1
57,Instruments/Medical technology,2022,Surgical instrument,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022134205A1
58,"Electrical engineering/Electrical machinery, apparatus, energy",2022,Holding device and method for fixing a functional element and cooking appliance therewith,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213352A1
59,Mechanical engineering/Mechanical elements,2022,Holding device and method for fixing a functional element and cooking appliance therewith,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213352A1
60,Mechanical engineering/Thermal processes and apparatus,2022,Holding device and method for fixing a functional element and cooking appliance therewith,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213352A1
61,Mechanical engineering/Transport,2022,"Method for determining a driving path along a planned travel trajectory, control device, vehicle and computer program",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213587A1
62,Mechanical engineering/Mechanical elements,2022,Wheel braking device,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213616A1
63,Mechanical engineering/Transport,2022,Wheel braking device,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213616A1
64,Mechanical engineering/Transport,2022,Method for transporting a second vehicle using a first vehicle,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213661A1
65,Mechanical engineering/Transport,2022,Method for filtering objects,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213669A1
66,Mechanical engineering/Mechanical elements,2022,Electric axle drive,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213693A1
67,Mechanical engineering/Transport,2022,Electric axle drive,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213693A1
68,Mechanical engineering/Mechanical elements,2022,Electric axle drive,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213694A1
69,Mechanical engineering/Transport,2022,Electric axle drive,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213694A1
70,Mechanical engineering/Mechanical elements,2022,Electric axle drive,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213696A1
71,Mechanical engineering/Transport,2022,Electric axle drive,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213696A1
72,Instruments/Measurement,2022,Micromechanical rotation rate sensor with a sensor element and method for operating a micromechanical rotation rate sensor with a sensor element,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213827A1
73,Mechanical engineering/Transport,2022,Method for controlling the brakes of a vehicle combination and brake control system for operating this method,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213831A1
74,Mechanical engineering/Transport,2022,Method for handing over automated driving functions to a driver,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213837A1
75,Mechanical engineering/Machine tools,2022,Hand tool,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213871A1
76,Mechanical engineering/Transport,2022,Instruction system for guided driving under a swap body,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213914A1
77,Instruments/Control,2022,Method for scheduling an AVP operation for a motor vehicle,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213932A1
78,Mechanical engineering/Transport,2022,Method for scheduling an AVP operation for a motor vehicle,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213932A1
79,Mechanical engineering/Transport,2022,Method for using a vehicle-external service for a vehicle system,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213960A1
80,"Electrical engineering/Electrical machinery, apparatus, energy",2022,"Method for operating an electric drive, inverter, vehicle",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213970A1
81,Mechanical engineering/Transport,2022,"Method for operating an electric drive, inverter, vehicle",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213970A1
82,Mechanical engineering/Transport,2022,Method for at least partially autonomous driving of a vehicle and driver assistance system,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213972A1
83,Mechanical engineering/Transport,2022,motor vehicle,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022213993A1
84,Mechanical engineering/Machine tools,2022,Hand tool,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022214002A1
85,Mechanical engineering/Machine tools,2022,chainsaw,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022214012A1
86,Chemistry/Chemical engineering,2022,high pressure cleaner,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022214045A1
87,Mechanical engineering/Transport,2022,"Method for displaying an upcoming driving maneuver, computer program, computing device and vehicle",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022214085A1
88,Mechanical engineering/Transport,2022,Electric bike control device,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022214088A1
89,Other fields/Civil engineering,2022,"GROUND MILLING MACHINE, IN PARTICULAR ROAD MILLING MACHINE OR RECYCLER AND METHOD FOR CHANGING THE OVERALL WEIGHT OF A GROUND MILLING MACHINE FOR BALLASTING PURPOSES",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022214096A1
90,Mechanical engineering/Transport,2023,SYSTEMS AND PROCEDURES FOR ADJUSTING ESCALATION STRATEGIES IN AUTONOMOUS DRIVING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102023119774A1
91,Mechanical engineering/Transport,2023,ONLINE ESTIMATION METHODS AND SYSTEMS FOR ELECTRICAL POWER STEERING PARAMETERS FOR USE IN AUTOMATED DRIVING CONTROLS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102023119905A1
92,Mechanical engineering/Mechanical elements,2023,Eccentric gear for a human-powered vehicle and device with an electric machine and an eccentric gear,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102023124359A1
93,Mechanical engineering/Transport,2023,Eccentric gear for a human-powered vehicle and device with an electric machine and an eccentric gear,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102023124359A1
94,Electrical engineering/Semiconductors,2023,SEMICONDUCTOR STRUCTURE WITH TREATED GATE DIELECTRIC LAYER AND METHOD FOR PRODUCING SAME,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102023126390A1
95,Mechanical engineering/Transport,2023,Lighting system for vehicles,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102023130897A1
96,Mechanical engineering/Transport,2023,Device for closing and releasing an energy charging connection of a motor vehicle,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102023131832A1
97,Electrical engineering/Computer technology,2023,ADAPTIVE VEHICLE CONTROL AS A RESPONSE TO CHANGING DRIVING BEHAVIOR,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102023133099A1
98,Mechanical engineering/Transport,2023,ADAPTIVE VEHICLE CONTROL AS A RESPONSE TO CHANGING DRIVING BEHAVIOR,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102023133099A1
99,"Mechanical engineering/Engines, pumps, turbines",2023,Device for generating hydroelectric power in the manner of an imitation pirate ship,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102023133943A1
100,"Electrical engineering/Electrical machinery, apparatus, energy",2023,ENGINE CONTROL DEVICE AND MOLDING MACHINE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102023134182A1
101,Mechanical engineering/Other special machines,2023,ENGINE CONTROL DEVICE AND MOLDING MACHINE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102023134182A1
102,Mechanical engineering/Transport,2023,FUEL CELL VEHICLE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102023134293A1
103,Other fields/Civil engineering,2023,METHOD FOR REPLACING A SUB-ASSEMBLY OF A GATE DRIVING DEVICE AND SUB-ASSEMBLY,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102023134316A1
104,Mechanical engineering/Transport,2023,HEADLIGHT CONTROL SYSTEM FOR MOVING OBJECTS AND HEADLIGHT CONTROL METHOD FOR MOVING OBJECTS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102023135379A1
105,Instruments/Control,2023,Test method for determining a characteristic of a drive component of a drive system of a motor vehicle,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102023135477A1
106,Instruments/Measurement,2023,Test method for determining a characteristic of a drive component of a drive system of a motor vehicle,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102023135477A1
107,Electrical engineering/Basic communication processes,2023,Driver circuit and method for operating a light-emitting device,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102023209650A1
108,"Electrical engineering/Electrical machinery, apparatus, energy",2023,Driver circuit and method for operating a light-emitting device,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102023209650A1
109,Mechanical engineering/Transport,2024,Device and locking mechanism for an armrest in the rear area of ​​a vehicle,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102024001434A1
110,Mechanical engineering/Mechanical elements,2019,DIFFERENTIAL DEVICE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE112019006304B4
111,Mechanical engineering/Other special machines,2020,"THREE-DIMENSIONAL PRINTING SUPPORT DEVICE, AND METHOD FOR MANUFACTURING THREE-DIMENSIONAL PRINTED ARTICLE",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE112020006117B4
112,Electrical engineering/Audio-visual technology,2021,DISPLAY SUBSTRATE AND DISPLAY DEVICE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE112021007946T5
113,Mechanical engineering/Mechanical elements,2021,POWER UNIT,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE112021008042T5
114,Mechanical engineering/Handling,2022,REINFORCING BAR BINDING ROBOT,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE112022002945T5
115,Other fields/Civil engineering,2022,REINFORCING BAR BINDING ROBOT,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE112022002945T5
116,Mechanical engineering/Transport,2022,STEERING SYSTEM FOR VEHICLE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE112022003616T5
117,Mechanical engineering/Mechanical elements,2022,HYDRAULIC SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE112022003888T5
118,Mechanical engineering/Transport,2022,Apparatus for controlling power transmission of vehicle,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE112022004021T5
119,Mechanical engineering/Handling,2022,"GRIPPING DEVICE, AND METHOD FOR CONTROLLING GRIPPING DEVICE",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE112022004042T5
120,Mechanical engineering/Transport,2022,"PRESENTATION CONTROL DEVICE, PRESENTATION CONTROL PROGRAM, AUTONOMOUS DRIVING CONTROL DEVICE, AND AUTONOMOUS DRIVING CONTROL PROGRAM",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE112022004076T5
121,Mechanical engineering/Transport,2022,Safety seat,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE112022004080T5
122,Instruments/Control,2022,AXIAL SHIFT DETERMINATION DEVICE AND AXIAL SHIFT DETERMINATION METHOD,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE112022004160T5
123,Instruments/Measurement,2022,AXIAL SHIFT DETERMINATION DEVICE AND AXIAL SHIFT DETERMINATION METHOD,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE112022004160T5
